PUBUKPRN,KISCOURSEID,KISMODE
10003863,BALTUWWCYF_WKWCYPF,1
10003956,KUZBAACFEON4FF,1
10003956,KUZBAACFEONF,1
10003956,KUZBAACFFVC4FF,1
10003956,KUZBAACFFVCF,1
10003956,KUZBAACFINR4FF,1
10003956,KUZBAACFINRF,1
10003956,KUZBAACFLAW4FF,1
10003956,KUZBAACFLAWF,1
10003956,KUZBAACFMAC4FF,1
10003956,KUZBAACFMACF,1
10003956,KUZBAACFPLI4FF,1
10003956,KUZBAACFPLIF,1
10003956,KUZBAACFPSY4FF,1
10003956,KUZBAACFPSYF,1
10003956,KUZBAACFSCR4FF,1
10003956,KUZBAACFSCRF,1
10003956,KUZBAACFSOC4FF,1
10003956,KUZBAACFSOCF,1
10003956,KUZBAADHADICF,1
10003956,KUZBAADHBMAF,1
10003956,KUZBAADHCFDF,1
10003956,KUZBAADHCOBF,1
10003956,KUZBAADHCRWF,1
10003956,KUZBAADHCSCF,1
10003956,KUZBAADHDMAF,1
10003956,KUZBAADHEACF,1
10003956,KUZBAADHEDAF,1
10003956,KUZBAADHENLF,1
10003956,KUZBAADHEONF,1
10003956,KUZBAADHFVCF,1
10003956,KUZBAADHHUBF,1
10003956,KUZBAADHINFF,1
10003956,KUZBAADHINRF,1
10003956,KUZBAADHLAWF,1
10003956,KUZBAADHMACF,1
10003956,KUZBAADHMATF,1
10003956,KUZBAADHMSTF,1
10003956,KUZBAADHMUSF,1
10003956,KUZBAADHNUTF,1
10003956,KUZBAADHPHEF,1
10003956,KUZBAADHPLIF,1
10003956,KUZBAADHPSYF,1
10003956,KUZBAADHSCRF,1
10003956,KUZBAADHSOCF,1
10003956,KUZBAADHSOPF,1
10003956,KUZBAADHSPHF,1
10003956,KUZBAADHTHOF,1
10003956,KUZBAART4FF,1
10003956,KUZBAARTF,1
10003956,KUZBABMACRM4FF,1
10003956,KUZBABMACRMF,1
10003956,KUZBABMAEON4FF,1
10003956,KUZBABMAEONF,1
10003956,KUZBABMAFVC4FF,1
10003956,KUZBABMAFVCF,1
10003956,KUZBABMAINR4FF,1
10003956,KUZBABMAINRF,1
10003956,KUZBABMALAW4FF,1
10003956,KUZBABMALAWF,1
10003956,KUZBABMASEN4FF,1
10003956,KUZBABMASENF,1
10003956,KUZBABMASOC4FF,1
10003956,KUZBABMASOCF,1
10003956,KUZBACFDMAC4FF,1
10003956,KUZBACFDMACF,1
10003956,KUZBACFDPLI4FF,1
10003956,KUZBACFDPLIF,1
10003956,KUZBACFDPSY4FF,1
10003956,KUZBACFDPSYF,1
10003956,KUZBACFDSCR4FF,1
10003956,KUZBACFDSCRF,1
10003956,KUZBACFDSEN4FF,1
10003956,KUZBACFDSENF,1
10003956,KUZBACHYASCR4FF,1
10003956,KUZBACHYASCRF,1
10003956,KUZBACHYEON4FF,1
10003956,KUZBACHYEONF,1
10003956,KUZBACHYFVC4FF,1
10003956,KUZBACHYFVCF,1
10003956,KUZBACHYINR4FF,1
10003956,KUZBACHYINRF,1
10003956,KUZBACHYLAW4FF,1
10003956,KUZBACHYLAWF,1
10003956,KUZBACHYMAC4FF,1
10003956,KUZBACHYMACF,1
10003956,KUZBACHYPLI4FF,1
10003956,KUZBACHYPLIF,1
